mp3_path,scaled_subsonic_energy,duration_seconds
"/Users/nicholasbennett/Music/DJ Collection/prod.Kitty - Ubica(killa).mp3",307.05,265.85
"/Users/nicholasbennett/Music/DJ Collection/Mha Iri - The Unexpected.mp3",506.19,240.00
"/Users/nicholasbennett/Music/DJ Collection/Bläzy - Interlude.mp3",430.76,157.17
"/Users/nicholasbennett/Music/DJ Collection/In Explosions - kisama.mp3",773.21,139.49
"/Users/nicholasbennett/Music/DJ Collection/BADBADLUV - OG.mp3",434.97,275.20
"/Users/nicholasbennett/Music/DJ Collection/Lsdream - ACE OF CUPS.mp3",83.14,179.36
"/Users/nicholasbennett/Music/DJ Collection/Fred again.. - Billie (loving arms).mp3",222.32,217.27
"/Users/nicholasbennett/Music/DJ Collection/Sex Samples - Zagreb.mp3",329.47,217.60
"/Users/nicholasbennett/Music/DJ Collection/Lay Bankz - Na Na Na.mp3",1288.91,100.12
"/Users/nicholasbennett/Music/DJ Collection/Gayathri Krishnan - Ripple Effect.mp3",203.89,95.80
"/Users/nicholasbennett/Music/DJ Collection/Frizk - ALL MY FELLAS.mp3",363.87,141.33
"/Users/nicholasbennett/Music/DJ Collection/Lean Low - Fat Stack.mp3",475.61,155.00
"/Users/nicholasbennett/Music/DJ Collection/dj poolboi - tu tienes mi corazón.mp3",278.03,249.48
"/Users/nicholasbennett/Music/DJ Collection/Stimming - Alpe Lusia.mp3",1.91,192.21
"/Users/nicholasbennett/Music/DJ Collection/DNA - Dreams.mp3",434.17,191.71
"/Users/nicholasbennett/Music/DJ Collection/Randomer - Bring.mp3",371.31,294.90
"/Users/nicholasbennett/Music/DJ Collection/Bad Bunny - 200 Mph.mp3",405.72,170.51
"/Users/nicholasbennett/Music/DJ Collection/The Chronics - Aramide Straps.mp3",307.84,339.17
"/Users/nicholasbennett/Music/DJ Collection/Chris Stussy - All Night Long.mp3",323.66,234.53
"/Users/nicholasbennett/Music/DJ Collection/MCVERTT - Maddy.mp3",1207.01,117.61
"/Users/nicholasbennett/Music/DJ Collection/Toni Moralez - TAKE OFF UR CLOTHES.mp3",154.15,263.00
"/Users/nicholasbennett/Music/DJ Collection/TUI - Outra.mp3",192.05,184.69
"/Users/nicholasbennett/Music/DJ Collection/Groovy - jersey luv.mp3",214.19,231.09
